Page,URL/File,Purpose,Status
Home,index.html,Introduce ecosystem and route visitors,Draft ready
Projects,projects.html,List all projects and concepts,Draft ready
Businesses,businesses.html,List business/service brands,Draft ready
Services,services.html,Show services/capabilities,Draft ready
About,about.html,Explain positioning and thesis,Draft ready
Contact,contact.html,Capture leads/inquiries,Needs backend
Privacy,privacy.html,Legal placeholder,Needs legal review
Terms,terms.html,Legal placeholder,Needs legal review
Agent Command Center (ACC),acc.html,"A modular AI operating system that routes goals across agents, tools, approvals, memory, automation, and connected workflows.",Pre-production / integration hardening
Alphonso Ecosystem,alphonso.html,A cinematic local-first AI ecosystem where specialized agents collaborate inside a premium desktop command environment.,Desktop ecosystem / operator-grade build track
SessionGuard,sessionguard.html,"A session intelligence platform that helps users track, analyze, and improve decision-making patterns through data, reports, and risk insights.",Product build / V10.1 wiring milestone
TapCash,tapcash.html,"A GPT-style rewards and offerwall platform concept focused on lean launch, attribution, anti-fraud, and scalable reward operations.",Concept / business planning
Obsidian Media,obsidian-media.html,"A media and content strategy brand for social campaigns, storytelling systems, YouTube/Instagram workflows, and AI-assisted content operations.",Business concept / launch package
Obsidian Studios,obsidian-studios.html,"A creative studio brand for visuals, trailers, faceless channels, AI cinematics, brand kits, and campaign assets.",Business concept / studio services
Blazely,blazely.html,"A commission-based marketing and landing-page system for lead generation, business growth, and automated campaign workflows.",Concept / workflow design
Founder Project,founder-project.html,"A systemized AI company-in-a-box concept that helps founders move from idea to offer, operations, content, automations, and launch assets.",Strategic concept / productization track
Cullinan Construction,cullinan-construction.html,"A general contracting and construction services brand for renovations, new builds, landscaping, project management, and high-quality execution in Ontario.",Operating / service business
AI Tourist Assistant Platform,ai-tourist-assistant.html,"A tourist assistant concept for major events such as the FIFA World Cup in Canada, helping visitors navigate local services, food, transport, events, and emergency information.",Opportunity concept
UniUni DSP Opportunity,uniuni-dsp-opportunity.html,"A delivery service partner opportunity page for evaluating startup requirements, capital needs, operating model, vehicles, hiring, insurance, and profitability.",Research / evaluation
